User_Id,Age,Gender,Country,Student_Working_Status,Daily_Social_Media_Hours,Screen_Time_Hours,Night_Scrolling_Frequency,Online_Gaming_Hours,Content_Type_Preference,Exercise_Frequency_per_Week,Daily_Sleep_Hours,Caffeine_Intake_Cups,Study_Work_Hours_per_Day,Overthinking_Score,Anxiety_Score,Mood_Stability_Score,Social_Comparison_Index,Sleep_Quality_Score,Motivation_Level,Emotional_Fatigue_Score,Wellbeing_Index,Burnout_Risk
1,24,Male,Canada,Working,4.81,6.93,2.61,2.07,News,5.41,6.84,1.52,11.42,4.95,4.13,5.74,4.67,6.27,6.13,6.45,4.28,Medium
2,21,Male,USA,Student,4.16,7.94,1.85,3.58,Gaming,3.41,7.88,2.23,6.98,5.91,3.63,5.75,5.38,7.37,6.27,3.74,5.23,Medium
3,25,Male,Pakistan,Student,3.07,7.45,2.96,2.85,Entertainment,3.4,6.39,0.53,7.79,4.06,5.67,6.03,2.41,6.48,4.82,6.69,3.72,High
4,22,Female,Pakistan,Student,4.41,7.34,4.51,3.37,Educational,2.19,7.92,0.58,6.61,6.1,4.78,4.85,5.86,7.27,5.17,5.96,3.97,High
5,24,Male,Pakistan,Student,2.97,5.76,2.36,1.77,Educational,4.93,5.97,1.64,4.81,5.22,4.23,5.05,5.54,6.34,5.72,2.22,4.63,Medium
6,20,Male,Australia,Both,6.06,8.75,4.6,0.61,Gaming,5.51,6.7,0,6.44,6.19,4.29,3.21,5.99,7.55,4.88,6.35,3.44,High
7,24,Male,UK,Student,3.68,6.15,1.68,1.65,News,3.61,5.18,1.5,6.66,5.31,5.29,6.23,3.07,4.79,5.51,5.87,3.65,High
8,25,Female,Canada,Student,4.64,6.7,4.24,1.66,Educational,2.21,6.27,2.46,6.29,4.07,4.36,3.68,4.16,7.18,2.8,6.03,2.82,High
9,22,Male,USA,Student,6.5,9.61,4.33,0,Educational,1.41,6.78,1.89,10.66,5.32,5.26,3.54,5.15,7.17,4.51,5.59,3.27,High
10,21,Female,India,Student,3.73,5.97,4.26,0.98,News,1.94,4.65,2.9,9.88,4.46,4.67,5.91,4.63,4.61,6.06,5.38,3.85,High
11,25,Male,India,Student,2.87,3.27,3.52,3.11,News,1.56,8.19,1.08,6.95,5.44,3.21,6.3,3.94,9.14,5.95,3.5,6.01,Medium
12,25,Female,UK,Student,3.14,8.17,2.91,0,News,4.05,6.73,0.05,2.61,5.12,4.26,5.52,5.16,5.48,5.67,4.36,4.12,Medium
13,20,Non-binary,Canada,Working,3.99,8.69,4.11,0,Lifestyle,0,7.32,0.71,5.73,5.21,4.87,4.65,4.29,6.37,3.01,8.29,2.48,High
14,23,Male,Australia,Student,3.79,6.9,3.18,0,Lifestyle,2.98,6.45,1.59,6.55,5.08,5.69,3,3.12,6.46,5.68,5.16,3.24,High
15,22,Male,Canada,Student,3.73,5.43,3.13,0.56,News,2.44,5.9,3.19,7.42,4.44,5.15,5.27,3.23,5.73,4.87,4.51,3.68,High
16,19,Female,UK,Student,4.52,9.82,1.84,1.2,News,4.77,4.08,3.4,4.05,6.07,6.29,4.85,4.29,4.26,3.94,8.28,1.92,High
17,25,Male,Canada,Working,4.18,7.7,1.88,4.27,Gaming,3.75,7.33,0,9.63,4.11,3.48,4.81,4.45,8.05,4.1,4.63,4.3,Medium
18,23,Male,India,Student,3.31,5.94,3.6,2.57,Educational,1.72,7.92,1.28,2.8,5.45,4.88,5.31,3.44,8.16,5.55,5.27,4.65,Medium
19,19,Female,India,Student,4.02,8.53,2.57,1.88,Entertainment,2.69,6.59,0.73,5.28,3.33,2.74,7.57,5.21,7.26,5.68,5.92,5.39,Medium
20,22,Non-binary,USA,Student,2.97,4.97,3.88,1.22,Lifestyle,4.25,4.98,0.84,6.91,6.55,7.23,1.94,4.09,4.08,5.05,7.55,1.23,High
